Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",name,source,source_url
573,drowned,drowning or exhaustion related death,Del grande,2007-08-11T00:00:00Z,2007,0,0,1,"Recovered south of Lampedusa the body of a man drowned (Aug 12, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Aug 11, 2007",Adnkronos,http://www.adnkronos.com/IGN/Cronaca/?id=1.0.1200295430
574,drowned,drowning or exhaustion related death,United,2007-08-11T00:00:00Z,2007,0,0,1,"reportedly drowned, found in advanced state of decomposition, wearing life jacket  (Aug 11, 2007)",Algeria to Algeria,36.142015,4.240723,"36.142015, 4.240723","Event at Algeria To Algeria on Aug 11, 2007",QUOTI,
575,drowned,drowning or exhaustion related death,United,2007-08-11T00:00:00Z,2007,0,0,86,"51 found, 35 missing, drowned off Seferihisar (TR) after their overloaded boat sank  (Aug 11, 2007)",seferihisar,38.2,26.833333,"38.2, 26.833333","Event at Seferihisar on Aug 11, 2007",ICARE/BBC/GuardianUN/SP/TheGlobe/DPS/IntHeraldTribune/PrensaLibre/Mugak/PrensaGrafica/TDN/AP/CNN/UNHCR/MNS/NOB,
576,drowned,drowning or exhaustion related death,United,2007-08-09T00:00:00Z,2007,0,0,3,"drowned,3 missing, coast guard found boat with 117 illegal migrants near Zakynthos Isl. (GR) (Aug 9, 2007)","Zakynthos, greece",37.78816,20.898827,"37.78816, 20.898827","Event at Zakynthos, Greece on Aug 09, 2007",VK,
577,drowned,drowning or exhaustion related death,Del grande,2007-08-08T00:00:00Z,2007,0,0,1,"Boat capsizes 35 miles south of Capo Passero, Syracuse. A drowned (Aug 9, 2007)",capo,38.158524,14.742693,"38.158524, 14.742693","Event at Capo on Aug 08, 2007",Adnkronos,http://www.adnkronos.com/IGN/Cronaca/?id=1.0.1193458648
578,drowned,drowning or exhaustion related death,United,2007-08-06T00:00:00Z,2007,0,0,1,"drowned, body found from the Armed Forces of Malta in Maltese waters  (Aug 6, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Aug 06, 2007",MNS,
579,drowned,drowning or exhaustion related death,Del grande,2007-08-01T00:00:00Z,2007,0,0,1,"Sinking boat off the coast of Samos, dies drowned a woman of 27 years (Aug 2, 2007)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Aug 01, 2007",Kathimerini,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=86467
580,drowned,drowning or exhaustion related death,United,2007-07-29T00:00:00Z,2007,0,0,20,"reportedly drowned, boat sank between island Mayotte (F) and Comoros Islands  (Jul 29, 2007)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244","Event at Mayotte on Jul 29, 2007",NOB,
581,drowned,drowning or exhaustion related death,United,2007-07-27T00:00:00Z,2007,0,0,8,"1 found, at least 7 missing; 21 migrants found on tuna pen near Libya  (Jul 27, 2007)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on Jul 27, 2007",MNS,
582,drowned,drowning or exhaustion related death,United,2007-07-24T00:00:00Z,2007,0,0,9,"drowned, at least 9 died after two vessels from Libya sank off the coast of Sicily (I) (Jul 24, 2007). From Del Grande's data set (translated): Nine missing after the overthrow of a boat at the boundary between the Italian and Maltese waters (Jul 25, 2007)",sicily,37.599994,14.015356,"37.599994, 14.015356","Event at Sicily on Jul 24, 2007",MNS,http://www.timesofmalta.com/core/article.php?id=269443
583,drowned,drowning or exhaustion related death,United,2007-07-22T00:00:00Z,2007,0,0,29,"2 died, 27 missing, boat sank off Mayotte Island (F) in Indian Ocean from Comoros Islands (Jul 22, 2007). From Del Grande's data set (translated): Sinking boat coming from the Comoros Islands and directed the French island of Mayotte, in the Indian Ocean. Two dead and 27 missing (Jul 21, 2007)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244","Event at Mayotte on Jul 22, 2007",NOB,http://www.lemonde.fr/web/article/0
584,drowned,drowning or exhaustion related death,United,2007-07-22T00:00:00Z,2007,0,0,3,"drowned, 2 found, 1 missing near the coasts of Malta (Jul 22, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Jul 22, 2007",DPA,
585,drowned,drowning or exhaustion related death,United,2007-07-21T00:00:00Z,2007,0,0,2,"drowned, 80 km from Libyan coast after their boat collided with a fisher boat (Jul 21, 2007)",libyan,26.3351,17.228331,"26.3351, 17.228331","Event at Libyan on Jul 21, 2007",DPA,
586,drowned,drowning or exhaustion related death,United,2007-07-18T00:00:00Z,2007,0,0,52,"drowned, 150 miles south Tenerife (E) in rough sea while Spanish boat tried to rescue them (Jul 18, 2007). From Del Grande's data set (translated): Canoe capsizes at sea during the rescue operation, 90 miles south of the Canary Island of Tenerife. At least 88 victims, all scattered at sea (Jul 18, 2007)",tenerife,28.291564,-16.62913,"28.291564, -16.62913","Event at Tenerife on Jul 18, 2007",Guardian Un./BBC/DS/AP/FR/VK/LR/MNS/EP/Raz/Mugak/SP/NOB/Berliner Zitg/EP,http://www.diariosur.es/20070906/espana/archivan-querella-contra-salvamento-20070906.html
587,drowned,drowning or exhaustion related death,United,2007-07-17T00:00:00Z,2007,0,0,16,"drowned, 4 died, 12 missing when boat sank 40 miles south of Lampedusa (I) (Jul 17, 2007). From Del Grande's data set (translated): Shipwreck 187 miles south of Lampedusa. The Italian fishing boat Monastir, gets shipwrecked and a corpse. 11 missing (Jul 18, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jul 17, 2007",MNS/Reu/LR,http://www.repubblica.it/2007/07/sezioni/cronaca/peschereccio-allarme/peschereccio-allarme/peschereccio-allarme.html
588,drowned,drowning or exhaustion related death,Del grande,2007-07-17T00:00:00Z,2007,0,0,4,"Tips vessel 40 miles south of Lampedusa. Sphinx recovered from the ship of the Navy, the bodies of 4 drowned, including that of a child (Jul 18, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jul 17, 2007",Repubblica,http://www.repubblica.it/2007/07/sezioni/cronaca/peschereccio-allarme/peschereccio-allarme/peschereccio-allarme.html
589,drowned,drowning or exhaustion related death,United,2007-07-16T00:00:00Z,2007,0,0,12,"drowned 1 found, 11 missing trying to embark on Italian fishing boat near Libya (Jul 16, 2007)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on Jul 16, 2007",HNS/Migreurop/MSN,
590,drowned,drowning or exhaustion related death,United,2007-07-08T00:00:00Z,2007,0,0,10,"at least 10 people drowned after their boat capsized off the island of Gran Canaria (E) (Jul 8, 2007)",canaria,28.291564,-16.62913,"28.291564, -16.62913","Event at Canaria on Jul 08, 2007",MNS/BBC,
591,drowned,drowning or exhaustion related death,United,2007-07-06T00:00:00Z,2007,0,0,1,"drowned, body found in advanced state of decomposition near Marsascala (M) (Jul 6, 2007). From Del Grande's data set (translated): Fished in the sea the bodies of two drowned men, one 110 miles off the island, the other in the bay of Marsascala (Jul 8, 2007)",marsascala,35.861313,14.565384,"35.861313, 14.565384","Event at Marsascala on Jul 06, 2007",MNS,http://www.maltamedia.com/artman2/publish/law_order/article_2601.shtml
592,drowned,drowning or exhaustion related death,United,2007-06-29T00:00:00Z,2007,0,0,11,"drowned in waters between Libya and Malta after the boat sank (Jun 29, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Jun 29, 2007",taz/MNS,
593,drowned,drowning or exhaustion related death,Del grande,2007-06-28T00:00:00Z,2007,0,0,8,"27 castaways rescued in Libyan waters from Icelandic fishing Eyborg. Recovered the body of a drowned woman, 7 missing (Jun 29, 2007)",libyan,26.3351,17.228331,"26.3351, 17.228331","Event at Libyan on Jun 28, 2007",Times of Malta,http://www.timesofmalta.com/core/article.php?id=266590&hilite=migrant
594,drowned,drowning or exhaustion related death,Del grande,2007-06-28T00:00:00Z,2007,0,0,1,"Recovered the body of a drowned man, 10 miles south of Lampedusa (Jun 29, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 28, 2007",Repubblica,http://newscontrol.repubblica.it/item/333913/clandestini-cadavere-recuperato-al-largo-di-lampedusa
595,drowned,drowning or exhaustion related death,Del grande,2007-06-27T00:00:00Z,2007,0,0,1,"Fished, 8 miles off the coast of Dingli, a corpse of a drowned man, in an advanced state of decomposition (Jun 28, 2007)",Dingli,35.860278,14.381389,"35.860278, 14.381389","Event at Dingli on Jun 27, 2007",Times of Malta,http://www.timesofmalta.com/core/article.php?id=266424&hilite=migrant
596,drowned,drowning or exhaustion related death,Del grande,2007-06-25T00:00:00Z,2007,0,0,1,"Recovered at sea the body of a drowned woman, about a mile from the port of Mgarr, Island of Gozo (Jun 26, 2007)",Island of Gozo,36.0443,14.251222,"36.0443, 14.251222","Event at Island Of Gozo on Jun 25, 2007",Ansa,http://www.ansa.it/
597,drowned,drowning or exhaustion related death,United,2007-06-21T00:00:00Z,2007,0,0,20,"reportedly drowned, missing after boat capsized near Lampedusa (I)  (Jun 21, 2007). From Del Grande's data set (translated): The Italian Valeria fishing boat rescues man clinging to a capsized boat, 80 miles south of Malta. At sea for three days, the man speaks of the other 24 passengers drowned (Jun 21, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 21, 2007",LR,http://www.repubblica.it/2007/05/sezioni/cronaca/sbarchi-immigrati/nuovi-sbarchi/nuovi-sbarchi.html
598,drowned,drowning or exhaustion related death,United,2007-06-19T00:00:00Z,2007,0,0,22,"reportedly drowned, vessel capsized 100 km south the Island of Malta (Jun 19, 2007). From Del Grande's data set (translated): Wreck 76 miles south of the island. The 4 survivors are saved by clinging to tuna cages of the tug Budafel. Recovered a corpse, 21 missing in sea (Jun 20, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Jun 19, 2007",MNS,http://www.timesofmalta.com/core/article.php?id=265626&hilite=migrant
599,drowned,drowning or exhaustion related death,United,2007-06-17T00:00:00Z,2007,0,0,8,"at least 8 migrants drowned after vessel capsized near the coast of southern Sicily (I) (Jun 17, 2007). From Del Grande's data set (translated): Fished 60 miles south of Lampedusa, the bodies of 11 men drowned, the other 3 are missing (Jun 17, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jun 17, 2007",MNS,http://www.repubblica.it/2007/05/sezioni/cronaca/sbarchi-immigrati/cadaveri-lampedusa/cadaveri-lampedusa.html
600,drowned,drowning or exhaustion related death,United,2007-06-15T00:00:00Z,2007,0,0,14,"drowned in Sicily Channel waters (I), 11 bodies found, 3 still missing (Jun 15, 2007)",sicily,37.599994,14.015356,"37.599994, 14.015356","Event at Sicily on Jun 15, 2007",LR/MNS,
601,drowned,drowning or exhaustion related death,United,2007-05-21T00:00:00Z,2007,0,0,1,"reportedly missing after a boat sank next to Malta coast (May 21, 2007). From Del Grande's data set (translated): Capsizes boat rescued 75 miles south of Malta, 1 missing (May 21, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on May 21, 2007",ANSA/LS,http://www.ansa.it/
602,drowned,drowning or exhaustion related death,United,2007-05-17T00:00:00Z,2007,0,0,28,"28 people are missing after their boat sank next to Malta coast sailing from LY to I (May 17, 2007). From Del Grande's data set (translated): Boat capsizes 75 miles off the coast of Malta, 28 missing, including 3 children (May 18, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on May 17, 2007",Reu./FE/TimesM/ANSA/MNS,http://www.timesofmalta.com/core/article.php?id=262033
603,drowned,drowning or exhaustion related death,United,2007-05-06T00:00:00Z,2007,0,0,20,"drowned, motor of the boat broke and sank off Ben Guerdne (LY) on way to Lampedusa (I) (May 6, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on May 06, 2007",NOB/REU,
604,drowned,drowning or exhaustion related death,United,2007-05-05T00:00:00Z,2007,0,0,28,"drowned, 8 found, 20 missing between Tunisa and Algeria trying to reach Sardinia (I)  (May 5, 2007)",tunis,36.81881,10.16596,"36.81881, 10.16596","Event at Tunis on May 05, 2007",Reu./FE/Diario de Noticias,
605,drowned,drowning or exhaustion related death,United,2007-04-26T00:00:00Z,2007,0,0,3,"1 drowned, 2 missing after smugglers throw them in sea next to Leros (GR) (Apr 26, 2007). From Del Grande's data set (translated): Forced by the guides to jump into the sea near the coast of the island of Leros. Drown a 15 year old girl. Missing a man and a child of a year and a half (Apr 27, 2007)",leros,37.140914,26.848843,"37.140914, 26.848843","Event at Leros on Apr 26, 2007",KI/FE,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=82895
606,drowned,drowning or exhaustion related death,United,2007-04-22T00:00:00Z,2007,0,0,132,"drowned, shipwreck off Morocco coasts, they were all from the Kolda area (Senegal) (Apr 22, 2007)",kolda,12.89952,-14.94427,"12.89952, -14.94427","Event at Kolda on Apr 22, 2007",book:LosInvisiblesDeKolda/Mugak/ELM/FE,
607,drowned,drowning or exhaustion related death,United,2007-04-22T00:00:00Z,2007,0,0,28,"drowned, shipwreck off Morocco coasts, he was from the Kolda area (Senegal) (Apr 22, 2007)",kolda,12.89952,-14.94427,"12.89952, -14.94427","Event at Kolda on Apr 22, 2007",book:LosInvisiblesDeKolda/Mugak/ELM/FE,
608,drowned,drowning or exhaustion related death,United,2007-04-21T00:00:00Z,2007,0,0,3,"2 found, 1 missing; boat capsized during rescue operation of Armed Forces of Malta (Apr 21, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Apr 21, 2007",MNS,
609,drowned,drowning or exhaustion related death,United,2007-04-20T00:00:00Z,2007,0,0,2,"drowned before their boat was rescued off Annaba (Algeria) on the way to Sardinia (I) (Apr 20, 2007). From Del Grande's data set (translated): Found boat drifting along the routes to Sardinia, off the coast of Annaba. 2 of missing passengers drowned before the arrival of the rescue (Apr 21, 2007)",annaba,36.902859,7.755543,"36.902859, 7.755543","Event at Annaba on Apr 20, 2007",FE/LaN/ElW,http://www.elwatan.com/spip.php?page=article&id_article=66494
610,drowned,drowning or exhaustion related death,United,2007-04-11T00:00:00Z,2007,0,0,10,"drowned, 2 found, 8 missing, boat collided with French police ship near Mayotte Isl. (F) (Apr 11, 2007)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244","Event at Mayotte on Apr 11, 2007",Le Monde/NOB,
611,drowned,drowning or exhaustion related death,United,2007-04-08T00:00:00Z,2007,0,0,19,"4 drowned, 15 missing, shipwreck near l Ile d Anjouan, trying to reach Mayotte Isl. (F) (Apr 8, 2007)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244","Event at Mayotte on Apr 08, 2007",JA,
612,drowned,drowning or exhaustion related death,United,2007-04-07T00:00:00Z,2007,0,0,1,"drowned, boat carrying other 12 immigrants capsized near Samos Island (GR) (Apr 7, 2007)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Apr 07, 2007",NOB/PressTv,
613,drowned,drowning or exhaustion related death,United,2007-03-11T00:00:00Z,2007,0,0,10,"drowned, 9 found, 1missing, boat collided with Dutch cargoship during rescue operation (I) (Mar 11, 2007)",Algeria to Spain,36.146155,-1.494141,"36.146155, -1.494141","Event at Algeria To Spain on Mar 11, 2007",MNS/VK/NOB,
614,drowned,drowning or exhaustion related death,United,2007-02-15T00:00:00Z,2007,0,0,24,"drowned, 4 found, 20 missing, boat sank near Samos Islands (GR), way from TR to GR (Feb 15, 2007). From Del Grande's data set (translated): Shipwreck off the coast of the island of Samos. Recovered the bodies of drowned 5, including 2 women. At least 20 missing (Feb 17, 2007)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Feb 15, 2007",Khaleej/PR/IntHeraldTribune/MNS/PR/IntHeraldTribune/AOL/PICUM/MNS,http://www.ekathimerini.com/4dcgi/_w_articles_politics_100019_20/02/2007_80289
615,drowned,drowning or exhaustion related death,United,2007-02-06T00:00:00Z,2007,0,0,4,"reportedly drowned, missing after boat sank near the coast of Azwen (DZ), 5 survived (Feb 6, 2007)","Azwen, algeria",36,-0.3,"36, -0.3","Event at Azwen, Algeria on Feb 06, 2007",QUOTI,
616,drowned,drowning or exhaustion related death,United,2007-02-01T00:00:00Z,2007,0,0,17,"drowned, 7 found, 10 missing after boat from Turkey sank off the island Samos (GR)  (Feb 1, 2007). From Del Grande's data set (translated): 7 bodies recovered and 12 missing after a shipwreck at a mile from the island of Samos (Feb 5, 2007)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Feb 01, 2007",KI/AthensNewsAgency/Khaleej/NOB/MNS/PICUM,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=79771
617,drowned,drowning or exhaustion related death,United,2007-12-31T00:00:00Z,2007,0,0,9,"drowned, after boat capsized near the beach of Cadiz (E) (Dec 31, 2007)",cadiz,36.527061,-6.288596,"36.527061, -6.288596","Event at Cadiz on Dec 31, 2007",EP/MUGAK/APDHA/PICUM/NOB,
618,drowned,drowning or exhaustion related death,United,2007-12-31T00:00:00Z,2007,0,0,8,"drowned, bodies found near Los Barrios (E), relatives identified 3 bodies (Dec 31, 2007)",barrios,43.351149,-8.185424,"43.351149, -8.185424","Event at Barrios on Dec 31, 2007",EP,
619,drowned,drowning or exhaustion related death,Del grande,2007-12-27T00:00:00Z,2007,0,0,1,"Fished out the body of a boy in the port of Ceuta, drowned while trying to reach a liner Live in Spain (Dec 28, 2007)",ceuta,35.888384,-5.324636,"35.888384, -5.324636","Event at Ceuta on Dec 27, 2007",Abc,http://www.abc.es/20071228/nacional-sucesos/fallece-ceuta-inimigrante-marroqui_200712280302.html
620,drowned,drowning or exhaustion related death,United,2007-12-27T00:00:00Z,2007,0,0,1,"drowned, after ship capsized near Evros (GR), 20 survivors, 7 swam to the TR side (Dec 27, 2007). From Del Grande's data set (translated): Two boats spilling into the river Evros on the border between Turkey and Greece, causing one death and drowned some missing (Dec 28, 2007)",evros,41.244376,26.135943,"41.244376, 26.135943","Event at Evros on Dec 27, 2007",IntHeraldTribune/NOB,http://www.iht.com/articles/ap/2007/12/28/europe/EU-GEN-Turkey-Illegal-Migrants.php
621,drowned,drowning or exhaustion related death,United,2007-12-16T00:00:00Z,2007,0,0,8,"drowned, overloaded boat sank in the Aegean Sea off Bodrum (TR) on way to Kos (GR) (Dec 16, 2007). From Del Grande's data set (translated): Live at the Greek island of Kos, boat capsizes at sea off the coast of Bodrum, 7 dead and 1 missing (Dec 18, 2007)",Bodrum,37.035339,27.43029,"37.035339, 27.43029","Event at Bodrum on Dec 16, 2007",TDN/KI/Ya.D/NOB,http://www.turkishdailynews.com.tr/article.php?enewsid=91602
622,drowned,drowning or exhaustion related death,United,2007-12-11T00:00:00Z,2007,0,0,7,"drowned, 3 found, 4 missing, 19 rescued by a gas carrier 30 ml off Cap Falcon (DZ) (Dec 11, 2007). From Del Grande's data set (translated): Inflatable drifting rescued by Algerian LNG ship ""Abbane Ramdane"", 30 miles off Cap Falcon, en route to Spain. The 3 bodies found (Dec 12, 2007)",algeria,28.033886,1.659626,"28.033886, 1.659626","Event at Algeria on Dec 11, 2007",NOB/FE/QUOTI,http://www.lequotidien-oran.com/index.php?news=5095728
623,drowned,drowning or exhaustion related death,Del grande,2007-12-09T00:00:00Z,2007,0,0,1,"Fished in the waters of Bouzedjar the corpse of a drowned man on routes to Spain (Dec 10, 2007)","Bouzedjar, algeria",35.579544,-1.142499,"35.579544, -1.142499","Event at Bouzedjar, Algeria on Dec 09, 2007",Le Quotidien d'Oran,http://www.lequotidien-oran.com/index.php?news=5095595
624,drowned,drowning or exhaustion related death,United,2007-11-28T00:00:00Z,2007,0,0,1,"reportedly drowned, found in advanced state of decomposition near Marsa sea (M) (Nov 28, 2007). From Del Grande's data set (translated): Found a dead body on the beaches of Marsa, 30 km west of Tns (Nov 29, 2007)",marsa,35.88301,14.493757,"35.88301, 14.493757","Event at Marsa on Nov 28, 2007",QUOTI/NOB,http://www.lequotidien-oran.com/index.php?news=509298
625,drowned,drowning or exhaustion related death,United,2007-11-13T00:00:00Z,2007,0,0,36,"drowned, 30 missing, 6 found in shore of Sidi Ifni (MA), ship sank on way from MA to E (Nov 13, 2007). From Del Grande's data set (translated): Shipwreck in Sidi Ifni, 100 km south of Agadir. 6 bodies recovered, 30 missing (Nov 14, 2007)",ifni,31.030972,-7.885086,"31.030972, -7.885086","Event at Ifni on Nov 13, 2007",Can7/NOB,http://www.canarias7.es/articulo.cfm?Id=72488
626,drowned,drowning or exhaustion related death,Del grande,2007-11-13T00:00:00Z,2007,0,0,1,"Fished on the beach Draouch, to Ghazaouet, the body of a drowned man on routes to Spain (Nov 14, 2007)",ghazaouet,35.1,-1.85,"35.1, -1.85","Event at Ghazaouet on Nov 13, 2007",Le Quotidien dOran,http://www.lequotidien-oran.com/index.php?news=508280
627,drowned,drowning or exhaustion related death,United,2007-10-28T00:00:00Z,2007,0,0,17,"drowned, 9 found, 8 missing after shipwreck near Catania (I) (Oct 28, 2007). From Del Grande's data set (translated): Sinking boat in rough seas in the waters of Syracuse, Sicily. 9 bodies recovered in Vendicari, 8 missing (Oct 28, 2007)",vendicari,36.868991,15.135476,"36.868991, 15.135476","Event at Vendicari on Oct 28, 2007",MUGAK/AFVIC,http://www.repubblica.it/2007/09/sezioni/cronaca/immigrati-2/roccella/roccella.html
628,drowned,drowning or exhaustion related death,United,2007-10-27T00:00:00Z,2007,0,0,25,"drowned, found off Roccella Jonica coast, Calabria (I) when boat capsized on way from Egypt (Oct 27, 2007). From Del Grande's data set (translated): Ship of 20 meters is broken into three colliding with a dry 200 meters from the coast of Roccella Ionica, Calabria. The 150 passengers into the sea. 7 bodies recovered (Oct 28, 2007)",calabria,39.308771,16.346379,"39.308771, 16.346379","Event at Calabria on Oct 27, 2007",MNS/PICUM/LESP/jW/LR/MUGAK/AVUI,http://www.repubblica.it/2007/09/sezioni/cronaca/immigrati-2/roccella/roccella.html
629,drowned,drowning or exhaustion related death,United,2007-01-16T00:00:00Z,2007,0,0,7,"drowned, 2 found, 5 missing boat from Turkey sank off the Samos island (GR) (Jan 16, 2007). From Del Grande's data set (translated): Sink a small boat off the island of Samos, 2 dead and 5 missing (Jan 18, 2007)",samos,37.743215,26.820351,"37.743215, 26.820351","Event at Samos on Jan 16, 2007",KI/NOB,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=79018
630,drowned,drowning or exhaustion related death,United,2007-01-11T00:00:00Z,2007,0,0,50,"drowned, 6 found, 44 missing, boat capsized on way from Mauritania to Canary Isl. (E) (Jan 11, 2007)",canary,28.291564,-16.62913,"28.291564, -16.62913","Event at Canary on Jan 11, 2007",DPA/MNS/EP,
631,drowned,drowning or exhaustion related death,United,2007-01-10T00:00:00Z,2007,0,0,1,"drowned after shipwreck on way from Egypt to Italy, familiars identified the body (Jan 10, 2007)",egypt,26.820553,30.802498,"26.820553, 30.802498","Event at Egypt on Jan 10, 2007",LAT,
632,drowned,drowning or exhaustion related death,United,2007-01-10T00:00:00Z,2007,0,0,57,"drowned after shipwreck on way from Alexandria (Egypt) to Italy (Jan 10, 2007)",alexandria,31.200092,29.918739,"31.200092, 29.918739","Event at Alexandria on Jan 10, 2007",LAT,
633,drowned,drowning or exhaustion related death,United,2007-01-09T00:00:00Z,2007,0,0,3,"drowned, bodies pulled out of the sea near the Sejname coast (TN) (Jan 9, 2007)","Sejname, tunisia",37.150437,9.23422,"37.150437, 9.23422","Event at Sejname, Tunisia on Jan 09, 2007",QUOTI,
634,drowned,drowning or exhaustion related death,United,2007-01-09T00:00:00Z,2007,0,0,15,"drowned, shipwreck near Balikesir (TR) crossing the border from TR to GR, 11 survivors (Jan 9, 2007)",balikesir,39.648369,27.88261,"39.648369, 27.88261","Event at Balikesir on Jan 09, 2007",Kuna,
635,drowned,drowning or exhaustion related death,United,2007-01-08T00:00:00Z,2007,0,0,30,"drowned after their boat sank in the Mediterranean Sea on their way to Europe (Jan 8, 2007)",Mediterranean Sea,34.553128,18.048011,"34.553128, 18.048011","Event at Mediterranean Sea on Jan 08, 2007",HNS,
636,drowned,drowning or exhaustion related death,United,2007-01-08T00:00:00Z,2007,0,0,4,"1 drowned, 3missing after boat from Libya sank next to Portopalo (I)  (Jan 8, 2007)",portopalo,36.68169,15.133875,"36.68169, 15.133875","Event at Portopalo on Jan 08, 2007",LR/CDS/Unita/RAI/ANSA/IlMess,
637,drowned,drowning or exhaustion related death,United,2007-01-07T00:00:00Z,2007,0,0,45,"reportedly drowned, boat capsized near Lampedusa (I) on the way from Libya, 1 survivor (Jan 7, 2007)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Jan 07, 2007",ANSA/GazzettaSud/AdnK/FE/HNS/Migreurop,
638,drowned,drowning or exhaustion related death,United,2007-01-06T00:00:00Z,2007,0,0,2,"drowned, dinghy collided with Italian fishing boat 80 miles from LY on way to I (Jan 6, 2007)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on Jan 06, 2007",LR,
639,drowned,drowning or exhaustion related death,United,2007-01-06T00:00:00Z,2007,0,0,12,"drowned, 1 found 11 missing, dinghy collided with fishing boatway from LY to I  (Jan 6, 2007)",libya,26.3351,17.228331,"26.3351, 17.228331","Event at Libya on Jan 06, 2007",LR,
640,drowned,drowning or exhaustion related death,United,2007-01-05T00:00:00Z,2007,0,0,21,"drowned between Malta and Libya, bodies picked up by a French ship (Jan 5, 2007)",malta,35.937496,14.375416,"35.937496, 14.375416","Event at Malta on Jan 05, 2007",FE/TI/Malta Independent/MP/LR/CDS/SP/ProAsyl/Reu/jW/MNS,
641,drowned,drowning or exhaustion related death,United,2007-01-03T00:00:00Z,2007,0,0,13,"drowned after their dinghy sank off Nador (MA), sailing towards Spain  (Jan 3, 2007)","Nador, morocco",35.166667,-2.933333,"35.166667, -2.933333","Event at Nador, Morocco on Jan 03, 2007",FE/Bladi,
642,drowned,drowning or exhaustion related death,United,2006-09-25T00:00:00Z,2006,0,0,9,"drowned, 6 found, 3 missing, reportedly thrown into Turkish sea by Greek coastguard (Sep 25, 2006). From Del Grande's data set (translated): 6 dead, 2 missing off the coast of Izmir, but the survivors accuse the Greek Coast Guard, which would have forsaken them in Turkish waters after which the day before had landed on the Greek island of Chios (Sep 26, 2006)",izmir,38.41885,27.12872,"38.41885, 27.12872","Event at Izmir on Sep 25, 2006",SC/TP/FE/TDN/MNS/FR-BB/NOB/PICUM/PR/jW,http://www.turkishpress.com/news.asp?id=143841
643,drowned,drowning or exhaustion related death,United,2006-09-23T00:00:00Z,2006,0,0,2,"drowned, shipwreck caused by overcrouding 40 miles off Lampedusa (I)  (Sep 23, 2006). From Del Grande's data set (translated): Lampedusa, a boat capsizes, drowning a woman and her baby (Sep 24, 2006)",lampedusa,35.508622,12.59292,"35.508622, 12.59292","Event at Lampedusa on Sep 23, 2006",LR/FE/IntHeraldTribune/NOB/PICUM/Unipa,http://www.repubblica.it/2006/08/sezioni/cronaca/clandestini/sbarchi-24
644,drowned,drowning or exhaustion related death,United,2006-09-22T00:00:00Z,2006,0,0,25,"drowned, after their boat sank near Kenitra (MA) on way to Spain (Sep 22, 2006). From Del Grande's data set (translated): Tips not far from the coast boat game for Spain by Moulay Bousselham, in Kenitra. At least 25 dead (Sep 27, 2006)",kenitra,34.264061,-6.578296,"34.264061, -6.578296","Event at Kenitra on Sep 22, 2006",APDHA,http://www.fferine.org/noticias/NOTI-1159700418.html
